画面ID	画面名	セクションID	セクション名	項目ID	項目名称	表示形式	単位	適用期間	備考
top	TOP	daily_summary	デイリーサマリー	expected_deposit_amount	見込み入金額	通貨	円	デイリー	-
top	TOP	daily_summary	デイリーサマリー	purchase_amount	仕入れ額	通貨	円	デイリー	-
top	TOP	daily_summary	デイリーサマリー	expected_gross_profit_amount	見込み粗利益額	通貨	円	デイリー	-
top	TOP	daily_summary	デイリーサマリー	expected_gross_profit_rate	見込み粗利益率	パーセント	%	デイリー	-
top	TOP	daily_summary	デイリーサマリー	expected_deposit_achievement_rate	見込み入金額達成率	パーセント	%	デイリー	T売上達成率から名称変更
top	TOP	daily_summary	デイリーサマリー	expected_gross_profit_achievement_rate	見込み粗利益達成率	パーセント	%	デイリー	T利益達成率から名称変更
top	TOP	weekly_summary	ウィークリーサマリー	expected_deposit_amount	見込み入金額	通貨	円	ウィークリー	-
top	TOP	weekly_summary	ウィークリーサマリー	purchase_amount	仕入れ額	通貨	円	ウィークリー	-
top	TOP	weekly_summary	ウィークリーサマリー	expected_gross_profit_amount	見込み粗利益額	通貨	円	ウィークリー	-
top	TOP	weekly_summary	ウィークリーサマリー	expected_gross_profit_rate	見込み粗利益率	パーセント	%	ウィークリー	-
top	TOP	weekly_summary	ウィークリーサマリー	expected_deposit_achievement_rate	見込み入金額達成率	パーセント	%	ウィークリー	T売上達成率から名称変更
top	TOP	weekly_summary	ウィークリーサマリー	expected_gross_profit_achievement_rate	見込み粗利益達成率	パーセント	%	ウィークリー	T利益達成率から名称変更
top	TOP	monthly_summary	マンスリーサマリー	expected_deposit_amount	見込み入金額	通貨	円	マンスリー	-
top	TOP	monthly_summary	マンスリーサマリー	purchase_amount	仕入れ額	通貨	円	マンスリー	-
top	TOP	monthly_summary	マンスリーサマリー	expected_gross_profit_amount	見込み粗利益額	通貨	円	マンスリー	-
top	TOP	monthly_summary	マンスリーサマリー	expected_gross_profit_rate	見込み粗利益率	パーセント	%	マンスリー	-
top	TOP	monthly_summary	マンスリーサマリー	expected_deposit_achievement_rate	見込み入金額達成率	パーセント	%	マンスリー	T売上達成率から名称変更
top	TOP	monthly_summary	マンスリーサマリー	expected_gross_profit_achievement_rate	見込み粗利益達成率	パーセント	%	マンスリー	T利益達成率から名称変更
